NACA 0007 Airfoil M=0.0% P=0.0% T=7.0%
  1.000000 -0.000000
  0.999013  0.000084
  0.996057  0.000333
  0.991144  0.000747
  0.984292  0.001318
  0.975528  0.002042
  0.964888  0.002911
  0.952414  0.003914
  0.938153  0.005042
  0.922164  0.006283
  0.904508  0.007625
  0.885257  0.009055
  0.864484  0.010562
  0.842274  0.012131
  0.818712  0.013749
  0.793893  0.015403
  0.767913  0.017079
  0.740877  0.018764
  0.712890  0.020445
  0.684062  0.022106
  0.654508  0.023734
  0.624345  0.025313
  0.593691  0.026829
  0.562667  0.028265
  0.531395  0.029606
  0.500000  0.030836
  0.468605  0.031937
  0.437333  0.032894
  0.406309  0.033690
  0.375655  0.034311
  0.345492  0.034741
  0.315938  0.034969
  0.287110  0.034983
  0.259123  0.034775
  0.232087  0.034337
  0.206107  0.033665
  0.181288  0.032759
  0.157726  0.031620
  0.135516  0.030253
  0.114743  0.028664
  0.095492  0.026862
  0.077836  0.024859
  0.061847  0.022667
  0.047586  0.020302
  0.035112  0.017776
  0.024472  0.015104
  0.015708  0.012301
  0.008856  0.009379
  0.003943  0.006349
  0.000987  0.003220
  0.000000  0.000000
  0.000987 -0.003220
  0.003943 -0.006349
  0.008856 -0.009379
  0.015708 -0.012301
  0.024472 -0.015104
  0.035112 -0.017776
  0.047586 -0.020302
  0.061847 -0.022667
  0.077836 -0.024859
  0.095492 -0.026862
  0.114743 -0.028664
  0.135516 -0.030253
  0.157726 -0.031620
  0.181288 -0.032759
  0.206107 -0.033665
  0.232087 -0.034337
  0.259123 -0.034775
  0.287110 -0.034983
  0.315938 -0.034969
  0.345492 -0.034741
  0.375655 -0.034311
  0.406309 -0.033690
  0.437333 -0.032894
  0.468605 -0.031937
  0.500000 -0.030836
  0.531395 -0.029606
  0.562667 -0.028265
  0.593691 -0.026829
  0.624345 -0.025313
  0.654508 -0.023734
  0.684062 -0.022106
  0.712890 -0.020445
  0.740877 -0.018764
  0.767913 -0.017079
  0.793893 -0.015403
  0.818712 -0.013749
  0.842274 -0.012131
  0.864484 -0.010562
  0.885257 -0.009055
  0.904508 -0.007625
  0.922164 -0.006283
  0.938153 -0.005042
  0.952414 -0.003914
  0.964888 -0.002911
  0.975528 -0.002042
  0.984292 -0.001318
  0.991144 -0.000747
  0.996057 -0.000333
  0.999013 -0.000084
  1.000000  0.000000
